Title,Additional Info,Description,Ref,TypeOfContract,Cpv(main),Cpv(additional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Employee Benefits Portal.	Portsmouth City Council (the Authority) intends to set-up a single supplier framework agreement for the provision of a managed employee benefits scheme across the Authority and available to other public sector authorities. The scheme may include but will not be limited or committed to the following:— Childcare Vouchers",— Critical Illness Insurance/Cancer Plan,— Cycle to Work Scheme,— Green Car Scheme,— Health Screening,— Learning and Personal Development,— Life Assurance,— Mobile Phone/Technology Purchase,— Payroll Giving,— Shopping and Leisure Discounts,— Travel Discounts,— Health Cash Plans,— Car Leasing Discounts.The Authority is targeting to have awarded the contract by 1.3.2016 with a subsequent commencement date of 1.4.2016. Tender documentation can be accessed via the Council's e-Sourcing system In-Tend at the following web address:https://in-tendhost.co.uk/portsmouthcc/aspx/homeThe Authority is looking for the successful supplier to provide the following benefits as part of a complete managed service:— Cycle to Work,— Childcare Vouchers,— Additional Holiday Purchase,— Car Parking,— Mobile and IT,— Car Leasing,— Discounted Goods and Services,— Life Insurance,— Critical Illness Cover,— Private Medical Insurance,— Personal Accident Cover,— Healthcare and Well Being,— Travel to Work,— Qualifications and Workplace Training,— Retail Vouchers,"— Additional Salary Sacrifice Schemes as Required.The intention is that a new provider shall be in place and ready to deliver the new service by 1.4.2016. A Road Show to launch the services to employees will be held week commencing 4.4.2016.	P00002262	SERVICES	75310000	79342321",34430000,79633000,79632000,98130000,32250000,30200000,85160000,98000000,66000000,75340000,30230000,98351100,66512210,80500000,66512200,79900000,92000000,32000000,75122000,75125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMR Metering Provision and Data Collection — Portsmouth.	Portsmouth City Council — the Council — is inviting tenders for the provision of electricity", gas and solar photovoltaic automatic meter reading (AMR) meters and associated data collection.The contract (s) will run for an initial term of 3 years and will be reviewed on an annual basis thereafter. The Council is targeting to award the contract (s) by 22.1.2016 with commencement following on 31.5.2016 in order to honour a 3 month notice period required under existing contractual arrangements.The Council is inviting tenders on the basis of 3 individual lots. The estimated value of the contract based upon projected annual charges is approximately 18 500 GPB per annum, broken down Lot by Lot as follows:1. Electricity — 10 000 GBP;2. Gas — 6 000 GBP;3. Solar PV — 2 500 GBP.The Council reserves the right at any time to review its use of AMR meters and may add, remove or upgrade AMR meters throughout the duration of the contract.Portsmouth City Council — the Council — is inviting tenders for the provision of electricity, gas and solar photovoltaic automatic meter reading (AMR) meters and associated data collection.The contract (s) will run for an initial term of 3 years and will be reviewed on an annual basis thereafter. The Council is targeting to award the contract (s) by 22.1.2016 with commencement following on 31.5.2016 in order to honour a 3 month notice period required under existing contractual arrangements.The Council is inviting tenders on the basis of 3 individual lots. The estimated value of the contract based upon projected annual charges is approximately 18 500 GBP per annum, broken down Lot by Lot as follows:1. Electricity — 10 000 GBP;2. Gas — 6 000 GBP;3. Solar PV — 2 500 GBP.Portsmouth City Council — the Council — is inviting tenders for the provision of electricity, gas and solar photovoltaic automatic meter reading (AMR) meters and associated data collection.The contract (s) will run for an initial term of 3 years and will be reviewed on an annual basis thereafter. The Council is targeting to award the contract (s) by 22.1.2016 with commencement following on 31.5.2016 in order to honour a 3 month notice period required under existing contractual arrangements.The Council is inviting tenders on the basis of 3 individual lots. The estimated value of the contract based upon projected annual charges is approximately 18 500 GBP per annum, broken down Lot by Lot as follows:1. Electricity — 10 000 GBP;2. Gas — 6 000 GBP;3. Solar PV — 2 500 GBP.Portsmouth City Council — the Council — is inviting tenders for the provision of electricity, gas and solar photovoltaic automatic meter reading (AMR) meters and associated data collection.The contract (s) will run for an initial term of 3 years and will be reviewed on an annual basis thereafter. The Council is targeting to award the contract (s) by 22.1.2016 with commencement following on 31.5.2016 in order to honour a 3 month notice period required under existing contractual arrangements.The Council is inviting tenders on the basis of 3 individual lots. The estimated value of the contract based upon projected annual charges is approximately 18 500 GBP per annum," broken down Lot by Lot as follows:1. Electricity — 10 000 GBP;2. Gas — 6 000 GBP;3. Solar PV — 2 500 GBP.		SUPPLIES	38551000	72318000",72319000,45310000,50411300,50411200,38554000,45333200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wi-Fi Concession Contract.	Doncaster Council is seeking a private technology company to work in partnership with them to provide and support a free to public visitors Wi-Fi service and a visitor counting system (optional) across Doncaster Town Centre via a concession contract in exchange for the use of Council owned assets such as street columns and buildings for communications network purposes. The purpose is to contribute towards making Doncaster a more attractive place both for businesses to locate and for people to visit and spend time for leisure purposes therefore improving the town centre economy and Doncaster the place. The preference would be to have an agreement covering a mutually agreed number of years and for the service to start summer 2016.We would like potential technology companies interested in this exciting partnership opportunity with Doncaster Council that will make a difference in Doncaster Town Centre to express their interest tojonathan.platts@doncaster.gov.uk by 15.1.2015 and then we will invite those companies to talk to us about how they would potentially achieve the town centre service. A set evaluation criteria will be used to select the successful supplier. Please note that the Council is advertising in the Official Journal on a voluntary basis as the procurement is otherwise exempt from the regulations on account of being a procurement for a concession contract.		SERVICES	32412000	64200000",64212000,32571000,32412110,32412100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corporate Services Solutions.	DH’s Corporate Service Improvement Programme (CSIP) aims to improve the way DH staff (rather than the wider NHS) access Corporate Services (meaning finance", P2P, payroll and HR) (the Solution) by implementing a replacement for its Business Management System (BMS) by April 2017 with new IT system/s which:— is/are easy to use and understand, and focuses on user experience with self-service being a key feature;— supports decision-makers through access to robust and timely management information; and— enables DH to become more effective and efficient in how it manages its business.The new contract must be flexible to meet DH’s aims for the new system/s by a core set of Corporate Services functionality to be implemented by April 2017, allowing additional modules to be plugged in at a later stage and for continuous enhancements in digital solutions to be supported. Supplier means one legal entity, which may be one or more suppliers who form the entity.The Supplier will be responsible for delivering the Solution (along with hosting it) as a fully managed service to DH taking responsibility for the managing the technology; its infrastructure and technical support. This will include the design and implementation of the solution including how I will be used," setting up and configuring for each area; including workflow design; set up and building of interfaces to existing systems; migration of data once prepared by DH; development and planning of end-user training.DH is intending to use the competitive with negotiation procurement procedure. The contract will be based upon the latest update (November 2015) of the Crown Commercial Service Model Service AgreementDH is running the event to maximise market interest and prepare Suppliers for the forthcoming OJEU notice being issued		SERVICES	48450000	72224100",48451000,72263000,72212450,48442000,48441000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Supply of up to 45no. Electric Vans.	Supply of up to 45no. Electric VansSupply of up to 45no. Electric Vans		SUPPLIES	34000000	34000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Health and Social Care Forum Service.	Health and Social Care Forum ServiceHealth and Social Care Forum Service.		SUPPLIES	85000000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Soft Market Testing for the Provision of a Needle Exchange and Supervised Consumption Service.	North Lincolnshire Council is undertaking a soft market testing exercise to help it determine the best way to deliver a Needle exchange and supervised consumption service to support the effective delivery of Substance Misuse Services and improve outcomes and value for money.Further information is available in the Request for Information documents available to download via http://www.yortender.co.uk. The deadline for the submission of RFI responses is 12 noon 19.2.2016. Please note this is not a formal procurement process and there is no guarantee of any shortlisting to subsequent procurement processes as a result of responding.North Lincolnshire Council is undertaking a soft market testing exercise to help it determine the best way to deliver a Needle exchange and supervised consumption service to support the effective delivery of Substance Misuse Services and improve outcomes and value for money.Further information is available in the Request for Information documents available to download via http://www.yortender.co.uk. The deadline for the submission of RFI responses is 12 noon 19.2.2016. Please note this is not a formal procurement process and there is no guarantee of any shortlisting to subsequent procurement processes as a result of responding.		SERVICES	85149000	85141000",90524200,90524100,90743200,33141310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Direct Payment Support Service.	This procurement is to commission a Direct Payment Support Service to be delivered from 17.5.2016 with an initial contract duration of 2 years with the option to extend for a further 2 years. There are three key elements to the service to be delivered:Direct Payments Information", Advice and Support ServiceManaged Bank Account ServicePayroll ServiceThis procurement is to commission a Direct Payment Support Service to be delivered from 17.5.2016 with an initial contract duration of 2 years with the option to extend for a further 2 years. There are three key elements to the service to be delivered:Direct Payments Information," Advice and Support ServiceManaged Bank Account ServicePayroll Service		SERVICES	85000000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Independent Travel Training.	The contract is for the provision of workers to act as ‘travel buddies’ who over a short period of time will support and assist young people or vulnerable adults with SEND (special educational needs and disabilities) in travelling", until they gain confidence to travel independently. The scheme focuses upon support to enable independent travel between home & school or college / school or college and home for young people and with travel to and from day or other agreed services for vulnerable adults.Independent Travel TrainingThe contract is for the provision of workers to act as ‘travel buddies’ who over a short period of time will support and assist young people or vulnerable adults with SEND (special educational needs and disabilities) in travelling," until they gain confidence to travel independently. The scheme focuses upon support to enable independent travel between home and school or college / school or college and home for young people and with travel to and from day or other agreed services for vulnerable adults.Cost of 1 person\travel buddy per hour Lot 3 Children and Young People and Adult Social Care.	A4EB-W3QDQX	SERVICES	80000000	85000000",80000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adult Weight Management Service.	North Lincolsnhire Council requires the provision of an Adult Weight Management Service.The primary aim of the service:— Engage", empower and support adults significantly above a healthy weight to make healthier and sustainable behaviour changes related to diet and physical activity.— Support the reduction of excess weight in adults aged 16 yrs+The primary aim of the service:— Engage," empower and support adults significantly above a healthy weight to make healthier and sustainable behaviour changes related to diet and physical activity.— Support the reduction of excess weight in adults aged 16 yrs+		SERVICES	85000000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rental Transmission Lines for CCTV.	Portsmouth City Council has awarded a contract to provide transmission lines for CCTV Cameras.The contract will be for a 3 year period commencing on 1.4.2016.Work is currently ongoing to reduce reliance on these transmission lines by upgrading the city's infrastructure to provide a wireless capacity therefore the scope of this contract will reduce over the 3 year contract period.Provision and maintenance of 143 CCTV Transmission lines in Portsmouth City.		SERVICES	72318000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Competing the Delivery of Services.	This notice relates to proposed variations to four call-off contracts awarded pursuant to framework agreements which were procured by the Ministry of Justice in accordance with Directive 2004/18/EU.This notice relates to proposed variations to four call-off contracts awarded pursuant to framework agreements which were procured by the Ministry of Justice in accordance with Directive 2004/18/EU.This notice relates to proposed variations to 4 call-off contracts awarded pursuant to framework agreements which were procured by the Ministry of Justice in accordance with Directive 2004/18/EU.This notice relates to proposed variations to four call-off contracts awarded pursuant to framework agreements which were procured by the Ministry of Justice in accordance with Directive 2004/18/EU.This notice relates to proposed variations to four call-off contracts awarded pursuant to framework agreements which were procured by the Ministry of Justice in accordance with Directive 2004/18/EU.		WORKS	79993100	79993100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dynamic Purchasing System for the Provision of Day Opportunities Services for Adults.	Isle of Wight Council (‘the Council’) is seeking to establish a Dynamic Purchasing System (‘DPS’) for the provision of day opportunities for adultsThe DPS will be used as the mechanism through which the Council will procure day opportunities for adults",which places a strong emphasis on outcomes for adults, so that their needs and aspirations can be met. The DPS is being established to enable greater choice, flexibility and personalisation for adults needing services,as well to drive improvements in quality in the market. It is a key priority of the Council to protect the most vulnerable by taking a person-centred approach, helping residents on the island to enjoy a good quality of life and supporting people to live as independently as they can in their own communities whenever possible.Potential suppliers will first be required to go through an accreditation and enrolment process which sets out the minimum quality standards required to join the DPS. If successful in meeting these minimum standards, the supplier will be enrolled on to the DPS system and will be able to start offering to deliver personal home support services for adults.Individual packages of care will be put into the system and suppliers on the DPS will be required to demonstrate(‘Offer’) how they can meet that requirement. Offers will be evaluated on the basis of 70 % quality and 30 %price. The quality evaluation will be broken down into the following:— Supplier Quality Score: (the ‘SQS’) — 30 %;— Attributes: Made up of Features (must have), Skills (if required) and Capabilities (would like) — 20 %;— Outcome statements: Suppliers written responses to the IWC questions — 20 %.The top 5 offers will be placed into a shortlist based on their price (30 %), attributes (20 %), supplier quality score (30 %).The top 5 offers will be placed onto a shortlist and outcome questions (20 %) will be evaluated. The Offer that is evaluated as being the most economically advantageous offer will then be awarded the delivery of the package of care and will go forward to enter in a Service Agreement with the Council ‘Service Agreement’.1. Supplier self-assessment questionnaire,2. Service user feedback,3. Care Quality Commission (CQC) rating,"4. Contract management including practitioner feedback.Service agreements raised under the DPS can commence at any time during the lifetime of the DPS. Suppliers can join the DPS at any time throughout its 4 year lifetime.		SERVICES	85000000	85000000",85312100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dynamic Purchasing System for the Provision of Home Support Services.	Isle of Wight Council (‘the Council’) is seeking to establish a Dynamic Purchasing System (‘DPS’) through which the Council will procure personal home support services for adults. The DPS will be used as the mechanism through which the Council will procure personal home support services for adults", which places a strong emphasis on outcomes for adults, so that their needs and aspirations can be met. The DPS is being established to enable greater choice, flexibility and personalisation for adults needing services, as well to drive improvements in quality in the market. It is a key priority of the Council to protect the most vulnerable by taking a person-centred approach, helping residents on the island to enjoy a good quality of life and supporting people to live as independently as they can in their own communities whenever possible.Isle of Wight Council (‘the Council’) is seeking to establish a Dynamic Purchasing System (‘DPS’) for the provision of personal home support services for adults.The DPS will be used as the mechanism through which the Council will procure personal home support services for adults, which places a strong emphasis on outcomes for adults, so that their needs and aspirations can be met. The DPS is being established to enable greater choice, flexibility and personalisation for adults needing services, as well to drive improvements in quality in the market. It is a key priority of the Council to protect the most vulnerable by taking a person-centred approach, helping residents on the island to enjoy a good quality of life and supporting people to live as independently as they can in their own communities whenever possible.Potential suppliers will 1st be required to go through an accreditation and enrolment process which sets out the minimum quality standards required to join the DPS. If successful in meeting these minimum standards, the supplier will be enrolled on to the DPS system and will be able to start offering to deliver personal home support services for adults.Individual packages of care will be put in to the system and suppliers on the DPS will be required to demonstrate (‘Offer’) how they can meet that requirement. Offers will be evaluated on the basis of 100 % quality. The quality evaluation will be broken down into the following:— Supplier Quality Score: (the ‘SQS’) — 40 %;— Attributes: made up of features (must have), skills (if required) and capabilities (would like) — 30 %;— Outcome statements: Suppliers written responses to the IWC questions — 30 %.The top 5 offers will be placed into a short list based on their attributes (30 %), supplier quality score (40 %).The top 5 offers will be placed on to a short list and outcome questions (30 %) will be evaluated. The Offer that is evaluated as being the most advantageous offer will then be awarded the delivery of the package of care," and will go forward to enter in a Service Agreement with the Council ‘Service Agreement’.— Supplier self-assessment questionnaire;— Service user feedback;— Care Quality Commission (CQC) rating;— Contract management including practitioner feedback.Service agreements raised under the DPS can commence at any time during the lifetime of the DPS. Suppliers can join the DPS at any time throughout its 4 year lifetime.		SERVICES	85000000	85000000",85312000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply of Active Lives and Healthy Weight Service for Adults (aged 18 and over), families," children and young people (aged 4-18) across Lancashire.	The Service will comprise of obesity prevention", opportunities for physical activity and weight management focusing on dietary change and behavioural components. It will provide a coordinated information," assessment and support programme to the people of Lancashire who meet the inclusion criteria.		SERVICES	85100000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Call for Tender for the selection of an Execution Entity which will be in charge of Promotion and Information activities.	The Call for Tender is addressed to Agencies and Companies expert in Public Relations", Promotion and Information activities regarding agricultural products of high quality. The activities and initiatives eligible under the program Cheese it's Europe (co-financed by European and Italian funds)," are similar to those of classical information and promotion activities related to food and wine high quality products; taking into account issues to be treated and project's objectives (especially in terms of communication's contents). Please see the Technical Specifications of the Call for Tender available at: http://www.parmigianoreggiano.com/news/cheese_its_europe/technical_specifications.aspx		SERVICES	79416000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
